molecule_chembl_id,canonical_smiles,standard_value
CHEMBL453931,CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(C)=O,450.0
CHEMBL444683,CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)c1ccccc1,410.0
CHEMBL513122,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2ccc(N)cc2)c1-c1ccccc1,6600.0
CHEMBL467098,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N)c2)c1-c1ccccc1,210.0
CHEMBL513141,Nc1ccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)cc1,4300.0
CHEMBL513840,Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1,2700.0
CHEMBL265674,Nc1nnc(S(N)(=O)=O)s1,2600.0
CHEMBL508578,NS(=O)(=O)c1nnc(NC(=O)c2nn(-c3cccc(/N=N/c4c(O)ccc5ccccc45)c3)c(-c3ccccc3)c2C(=O)c2ccccc2)s1,80.0
CHEMBL443431,CC(=O)Cn1c(C)cc2c(-n3nc(C(=O)Nc4nnc(S(N)(=O)=O)s4)c(C(=O)c4ccccc4)c3-c3ccccc3)cccc21,120.0
CHEMBL560175,COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,78.0
CHEMBL120886,NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1Cl,430.0
CHEMBL590825,NCc1ccccn1.NS(=O)(=O)c1cc(C(=O)O)c(Cl)cc1Cl,260.0
CHEMBL466517,NS(=O)(=O)NCc1csc2ccccc12,25000.0
CHEMBL555721,O=[N+]([O-])O[C@H]1CC=CC[C@@H]1O,124000000.0
CHEMBL562358,O=[N+]([O-])O[C@H]1CCCC[C@@H]1O,113000000.0
CHEMBL563619,O=[N+]([O-])O[C@@H](CO)c1ccccc1,129000000.0
CHEMBL556256,O=[N+]([O-])O[C@H]1CCCCCC[C@@H]1O,23000000.0
CHEMBL559615,O=[N+]([O-])O[C@H]1CC/C=C\CC[C@@H]1O,21000000.0
CHEMBL1096674,O=[N+]([O-])O[C@@H]1CC[C@H](Br)[C@@H]2CC[C@H]1O2,12100000.0
CHEMBL1094528,O=[N+]([O-])O[C@@H]1CC2c3ccccc3C1[C@@H]2O,10230000.0
CHEMBL1094529,O=[N+]([O-])O[C@H]1C[C@H](O)[C@@H](O[N+](=O)[O-])C[C@@H]1O,11230000.0
CHEMBL1094530,O=[N+]([O-])O[C@H]1C[C@H](O[N+](=O)[O-])[C@@H](O)C[C@@H]1O,10700000.0
CHEMBL1094531,O=[N+]([O-])O[C@H]1CC[C@@H](O[N+](=O)[O-])[C@H](O)[C@@H]1O,13710000.0
CHEMBL1094856,O=[N+]([O-])O[C@H]1CC2CCC1[C@@H]2O,9100000.0
CHEMBL1094857,O=[N+]([O-])O[C@@H]1CC2CCC1[C@@H]2O,7130000.0
CHEMBL508732,Cc1ccc(S(=O)(=O)n2cccc2)cc1,14290.0
CHEMBL1163131,Cc1ccc(S(=O)(=O)N2CC=CC2=O)cc1,11240.0
CHEMBL1163554,Cc1ccc(S(=O)(=O)N2C(=O)C=CC2O)cc1,210.0
CHEMBL1164744,CC(=O)OC1C=CC(=O)N1S(=O)(=O)c1ccc(C)cc1,370.0
CHEMBL24231,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,330.0
CHEMBL23838,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,338.0
CHEMBL1276015,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(/N=N/c3c(O)ccc4ccccc34)c2)c1-c1ccccc1,550.0
CHEMBL1276016,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(/N=N/c3ccc(O)cc3)c2)c1-c1ccccc1,120.0
CHEMBL1276394,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(I)c2)c1-c1ccccc1,50.0
CHEMBL1276017,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(NN=C(C(C)=O)C(C)=O)c2)c1-c1ccccc1,80.0
CHEMBL1276018,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N/N=C(\C(C)=O)C(=O)c3ccccc3)c2)c1-c1ccccc1,20.0
CHEMBL1276019,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(NN=C(C(=O)c3ccccc3)C(=O)c3ccccc3)c2)c1-c1ccccc1,410.0
CHEMBL1276020,CCOC(=O)/C(=N/Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(=O)c1ccccc1,90.0
CHEMBL1276021,CCOC(=O)/C(=N/Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(C)=O,140.0
CHEMBL1276022,CCOC(=O)C(=NNc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(=O)OCC,130.0
CHEMBL1276023,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N/N=C(/C(C)=O)C(=O)OC(C)(C)C)c2)c1-c1ccccc1,140.0
CHEMBL1276024,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc3c2cc(C)n3CC(C)=O)c1-c1ccccc1,70.0
CHEMBL2019136,Nc1oc2ccccc2c(=O)c1-c1ccccc1,4870.0
CHEMBL2019137,Nc1oc2ccc(Cl)cc2c(=O)c1-c1ccccc1,46200.0
CHEMBL2019138,Nc1oc2cc(Cl)ccc2c(=O)c1-c1ccccc1,9070.0
CHEMBL2019139,Nc1oc2ccccc2c(=O)c1-c1ccc(Cl)cc1,7660.0
CHEMBL2019140,Nc1oc2ccc(Cl)cc2c(=O)c1-c1ccc(Cl)cc1,4610.0
CHEMBL2019141,Nc1oc2cc(Cl)ccc2c(=O)c1-c1ccc(Cl)cc1,8120.0
CHEMBL2019142,COc1ccc(-c2c(N)oc3ccccc3c2=O)cc1,8060.0
CHEMBL2019143,COc1ccc(-c2c(N)oc3ccc(Cl)cc3c2=O)cc1,9560.0
CHEMBL2019144,COc1ccc(-c2c(N)oc3cc(Cl)ccc3c2=O)cc1,7100.0
CHEMBL2019145,COc1ccc(-c2c(N)oc3ccccc3c2=O)cc1OC,8370.0
CHEMBL2019146,COc1ccc(-c2c(N)oc3ccc(Cl)cc3c2=O)cc1OC,7680.0
CHEMBL2019147,COc1ccc(-c2c(N)oc3cc(Cl)ccc3c2=O)cc1OC,54100.0
CHEMBL2019148,COc1ccc2c(=O)c(-c3ccccc3)c(N)oc2c1,9850.0
CHEMBL2019149,COc1ccc2c(=O)c(-c3ccc(Cl)cc3)c(N)oc2c1,95700.0
CHEMBL2019150,COc1ccc(-c2c(N)oc3cc(OC)ccc3c2=O)cc1,5850.0
CHEMBL2019151,COc1ccc2c(=O)c(-c3ccc(OC)c(OC)c3)c(N)oc2c1,8300.0
CHEMBL2019152,Nc1[nH]c2ccc(Cl)cc2c(=O)c1-c1ccccc1,9720.0
CHEMBL2019153,Nc1[nH]c2cc(Cl)ccc2c(=O)c1-c1ccccc1,8510.0
CHEMBL2019154,COc1ccc(-c2cc3cc(Cl)ccc3oc2=O)cc1,4810.0
CHEMBL2172745,O=C(NCCNC(=O)P(=O)(O)O)c1ccc(Oc2ccccc2)cc1,620.0
CHEMBL2172744,O=C(NCCCCCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)P(=O)(O)O,380.0
CHEMBL2170080,O=C(NCCCCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)P(=O)(O)O,520.0
CHEMBL2170079,O=C(NCCCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)P(=O)(O)O,750.0
CHEMBL2170078,O=C(NCCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)P(=O)(O)O,710.0
CHEMBL2170077,O=C(NCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)P(=O)(O)O,980.0
CHEMBL2172751,N[C@@H]1CCCC[C@@H]1NC(=O)P(=O)(O)O,1600.0
CHEMBL2172750,N[C@H]1CCCC[C@@H]1NC(=O)P(=O)(O)O,8240.0
CHEMBL1801472,O=C(NCCN1CCCC1)P(=O)(O)O,9430.0
CHEMBL1801471,O=C(NCCN1CCCCC1)P(=O)(O)O,7820.0
CHEMBL2172749,CCOP(=O)(OCC)C(=O)NCCCCNC(=O)P(=O)(OCC)OCC,9700.0
CHEMBL2172748,O=C(NCCCCNC(=O)P(=O)(O)O)P(=O)(O)O,9740.0
CHEMBL2172747,C[C@@H](NC(=O)P(=O)(O)O)C1CCCCC1,6780.0
CHEMBL2172746,C[C@H](NC(=O)P(=O)(O)O)C1CCCCC1,5310.0
CHEMBL24447,O=C(NCCc1ccccc1)P(=O)(O)O,7680.0
CHEMBL97709,O=C(NC1CCCCCCC1)P(=O)(O)O,8020.0
CHEMBL97951,O=C(NCC1CCCCC1)P(=O)(O)O,7360.0
CHEMBL329784,O=C(NC1CCCCC1)P(=O)(O)O,7890.0
CHEMBL316997,O=C(NC1CCCC1)P(=O)(O)O,8790.0
CHEMBL318664,CCC(CC)NC(=O)P(=O)(O)O,6710.0
CHEMBL97034,CC(C)NC(=O)P(=O)(O)O,8810.0
CHEMBL2336906,Cc1cc(-c2nnc(Nc3ccc(S(N)(=O)=O)cc3)c3ccccc23)ccc1S(N)(=O)=O,85.7
CHEMBL2336905,Cc1ccc(-c2nnc(Nc3ccc(S(N)(=O)=O)cc3)c3ccccc23)cc1S(N)(=O)=O,10000.0
CHEMBL2336904,NS(=O)(=O)c1ccc(Nc2nnc(-c3cccc(S(N)(=O)=O)c3)c3ccccc23)cc1,10000.0
CHEMBL2336903,CC(C)(C)c1ccc(Nc2nnc(-c3cccc(S(N)(=O)=O)c3)c3ccccc23)cc1,10000.0
CHEMBL2336902,Nc1ccc(Nc2nnc(-c3cccc(S(N)(=O)=O)c3)c3ccccc23)cc1,10000.0
CHEMBL2336901,COc1cccc(-c2nnc(Nc3cccc(S(N)(=O)=O)c3)c3ccccc23)c1,220.2
CHEMBL2336900,COc1ccc(-c2nnc(Nc3cccc(S(N)(=O)=O)c3)c3ccccc23)cc1,10000.0
CHEMBL2336899,NS(=O)(=O)c1cccc(Nc2nnc(-c3ccc(C(F)(F)F)cc3)c3ccccc23)c1,10000.0
CHEMBL2336898,NS(=O)(=O)c1cccc(Nc2nnc(-c3ccc(Cl)cc3)c3ccccc23)c1,10000.0
CHEMBL2336897,NS(=O)(=O)c1cccc(Nc2nnc(-c3ccccc3)c3ccccc23)c1,10000.0
CHEMBL2336896,COc1cccc(-c2nnc(Nc3ccc(S(N)(=O)=O)cc3)c3ccccc23)c1,10000.0
CHEMBL2336895,NS(=O)(=O)c1ccc(Nc2nnc(-c3ccc(C(F)(F)F)cc3)c3ccccc23)cc1,10000.0
CHEMBL2336894,NS(=O)(=O)c1ccc(Nc2nnc(-c3ccc(Cl)cc3)c3ccccc23)cc1,10000.0
CHEMBL2313213,NS(=O)(=O)c1ccc(Nc2nnc(-c3ccccc3)c3ccccc23)cc1,10000.0
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,15.71
CHEMBL2392434,CC1=NN(c2cccc(S(N)(=O)=O)c2)C(=O)C1,1194.0
CHEMBL2392433,COc1ccc(CNc2ccc(S(N)(=O)=O)cc2)cc1OC,120.13
CHEMBL2392432,NS(=O)(=O)c1ccc(CNC2CC(=O)N(c3cccc(Br)c3)C2=O)cc1,36.13
CHEMBL2392431,COc1ccc(Cl)cc1CNCCc1ccc(S(N)(=O)=O)cc1,258.84
CHEMBL2392430,NS(=O)(=O)c1cccc(NS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)c1,231.41
CHEMBL2392429,NS(=O)(=O)c1ccc(NC(=O)c2cccc(N3C(=O)CCC3=O)c2)cc1,126.47
CHEMBL2392428,CC1=NN(c2ccc(S(N)(=O)=O)cc2)C(=O)/C1=C\C=C\c1ccccc1,3.09
CHEMBL2392427,NS(=O)(=O)c1ccc(CCNCc2cccc3ccccc23)cc1,172.84
CHEMBL2392426,Cc1ccc(N2NC(=O)/C(=C/c3cccn3-c3ccc(S(N)(=O)=O)cc3)C2=O)cc1,156.78
CHEMBL1387347,NS(=O)(=O)c1cc(C(=O)NCCOc2ccccc2)c(Cl)cc1Cl,16.73
CHEMBL2392425,NS(=O)(=O)c1ccc(/N=C2/NC(=O)/C(=C/c3cc(O)ccc3Br)S2)cc1,2.13
CHEMBL2392424,NS(=O)(=O)c1ccc(-n2cccc2/C=C2/C(=O)NN(c3ccc(F)cc3)C2=O)cc1,213.69
CHEMBL2392423,NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2)cc1,197.64
CHEMBL3092995,NS(=O)(=O)NC[C@H]1COc2cc(Cl)ccc2O1,18000.0
CHEMBL924,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,10000.0
CHEMBL2440580,O=P(O)(O)C(Nc1ccccc1)P(=O)(O)O,10000.0
CHEMBL2440581,O=P(O)(O)C(Nc1ccc(F)cc1)P(=O)(O)O,10000.0
CHEMBL2440436,O=P(O)(O)C(Nc1cccc(F)c1)P(=O)(O)O,10000.0
CHEMBL2440441,O=P(O)(O)C(Nc1ccc(Br)cc1)P(=O)(O)O,10000.0
CHEMBL370662,O=P(O)(O)C(Nc1cccc(Br)c1)P(=O)(O)O,8285.0
CHEMBL2440439,Cc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1,5932.0
CHEMBL2440440,O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O,6082.0
CHEMBL2440435,O=P(O)(O)C(Nc1cccc(C(F)(F)F)c1)P(=O)(O)O,5830.0
CHEMBL2440578,O=[N+]([O-])c1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1,7977.0
CHEMBL450938,O=[N+]([O-])c1cccc(NC(P(=O)(O)O)P(=O)(O)O)c1,814.0
CHEMBL2440438,O=P(O)(O)C(Nc1ccc(O)cc1)P(=O)(O)O,4570.0
CHEMBL2440433,O=P(O)(O)C(Nc1ccc(Cl)c(Cl)c1)P(=O)(O)O,10000.0
CHEMBL191613,O=P(O)(O)C(Nc1ccc(Cl)cc1Cl)P(=O)(O)O,7136.0
CHEMBL2440434,O=[N+]([O-])c1cc(NC(P(=O)(O)O)P(=O)(O)O)ccc1F,5535.0
CHEMBL293479,O=P(O)(O)C(Nc1ccc(-c2ccccc2)cc1)P(=O)(O)O,10000.0
CHEMBL55371,O=P(O)(O)C(Nc1cccc(-c2ccccc2)c1)P(=O)(O)O,10000.0
CHEMBL2440430,O=P(O)(O)C(Nc1ccc(Oc2ccccc2)cc1)P(=O)(O)O,10000.0
CHEMBL2440431,O=P(O)(O)C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)P(=O)(O)O,10000.0
CHEMBL2440432,O=P(O)(O)C(Nc1ccc(Oc2ccc(Br)cc2)cc1)P(=O)(O)O,10000.0
CHEMBL2440429,O=P(O)(O)C(Nc1cccc2ccccc12)P(=O)(O)O,10000.0
CHEMBL3291000,O=P(O)(O)C(NS(=O)(=O)c1ccccc1)P(=O)(O)O,10000.0
CHEMBL3291001,O=P(O)(O)C(NS(=O)(=O)c1ccc(Cl)cc1)P(=O)(O)O,10000.0
CHEMBL3291002,O=P(O)(O)C(NS(=O)(=O)c1ccc(Br)cc1)P(=O)(O)O,10000.0
CHEMBL3291003,O=C(NC(P(=O)(O)O)P(=O)(O)O)c1ccc(Br)cc1,10000.0
CHEMBL3291004,O=P(O)(O)C(P(=O)(O)O)S(=O)(=O)c1ccc(Br)cc1,10000.0
CHEMBL3291005,Cc1ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc1,10000.0
CHEMBL3291006,COc1ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc1,10000.0
CHEMBL3291007,O=[N+]([O-])c1ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc1,10000.0
CHEMBL3291008,O=[N+]([O-])c1cccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)c1,10000.0
CHEMBL3291009,O=P(O)(O)C(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)P(=O)(O)O,6800.0
CHEMBL3291010,O=P(O)(O)C(NS(=O)(=O)c1ccc(-c2cccs2)cc1)P(=O)(O)O,6170.0
CHEMBL3291011,O=P(O)(O)C(NS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1)P(=O)(O)O,1750.0
CHEMBL3291012,COc1ccc(-c2ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc2)cc1,41.0
CHEMBL3291013,O=[N+]([O-])c1ccc(-c2ccc(S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O)cc2)cc1,9030.0
CHEMBL3290054,N#CC1=CCc2ccccc2C=C1,4520.0
CHEMBL3290055,N#CC1=Cc2ccccc2CC=C1,5770.0
CHEMBL3290056,N#Cc1ccc(=O)c2ccccc2c1,5960.0
CHEMBL3290057,N#Cc1cccc2ccccc2c1=O,7070.0
CHEMBL3290058,N#Cc1cc2ccccc2ccc1=O,5250.0
CHEMBL3290059,N#Cc1ccc2ccccc2c(=O)c1,5130.0
CHEMBL1372946,Cc1ccc(S(=O)(=O)N(C)c2ccccc2)cc1,50000.0
CHEMBL3310985,CC(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,50000.0
CHEMBL1533910,COc1ccc(S(=O)(=O)Nc2ccccc2)cc1OC,50000.0
CHEMBL362436,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccccc2)cc1,50000.0
CHEMBL1382128,Cc1ccc(S(=O)(=O)Nc2ccccc2-c2ccccc2)cc1,50000.0
CHEMBL1621411,Cc1ccc(S(=O)(=O)NCCCN(C)C)cc1,50000.0
CHEMBL287486,Cc1ccc(S(=O)(=O)NCC(=O)O)cc1,50000.0
CHEMBL3310984,CCCC(C)NS(=O)(=O)c1ccc(C)cc1,50000.0
CHEMBL1332361,Cc1ccc(S(=O)(=O)NCc2ccccc2)cc1,50000.0
CHEMBL182659,Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1,50000.0
CHEMBL3402244,Cc1ccc(S(=O)(=O)NC(=O)C2C(C(=O)OCc3ccccc3)[C@@H]3C=C[C@H]2CC3)cc1,178.7
CHEMBL3402245,Cc1ccc(S(=O)(=O)NC(=O)C2[C@H]3C=C[C@H](C3)[C@H]2C(=O)OCc2ccccc2)cc1,132.9
CHEMBL3402246,Cc1ccc(S(=O)(=O)NC(=O)C2CC=CCC2C(=O)OCc2ccccc2)cc1,153.1
CHEMBL3402247,CC1=CCC(C(=O)OCc2ccccc2)C(C(=O)NS(=O)(=O)c2ccc(C)cc2)C1,178.9
CHEMBL3402248,Cc1ccc(S(=O)(=O)NC(=O)C2[C@H](C(=O)OCc3ccccc3)[C@@]3(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C3(Cl)Cl)cc1,90.0
CHEMBL3402249,Cc1ccc(S(=O)(=O)NC(=O)C2C(C(=O)O)[C@H]3CC[C@@H]2[C@H](O)[C@@H]3O)cc1,133.5
CHEMBL3402250,Cc1ccc(S(=O)(=O)NC(=O)[C@H]2[C@@H]3C[C@@H]([C@@H](O)[C@H]3O)[C@H]2C(=O)O)cc1,210.2
CHEMBL3402251,Cc1ccc(S(=O)(=O)NC(=O)C2CC(O)C(O)CC2C(=O)O)cc1,209.9
CHEMBL3402252,Cc1ccc(S(=O)(=O)NC(=O)C2CC(C)(O)C(O)CC2C(=O)O)cc1,215.0
CHEMBL3402253,Cc1ccc(S(=O)(=O)NC(=O)[C@@H]2[C@H](C(=O)O)[C@]3(Cl)C(Cl)(Cl)[C@]2(Cl)[C@@](O)(Cl)[C@]3(O)Cl)cc1,170.8
CHEMBL2376666,NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1cccc(NS(N)(=O)=O)c1,4800.0
CHEMBL3786719,CN(C)S(=O)(=O)NC1CCc2ccc(O)cc2C1,29.29
CHEMBL3786442,CN(C)S(=O)(=O)N[C@H]1CCc2cc(O)ccc2C1,29.72
CHEMBL3786873,CN(C)S(=O)(=O)NC1CCc2c(O)cccc2C1,157.54
CHEMBL3785207,CN(C)C(=O)N[C@H]1CCc2ccc(O)cc2C1,9.95
CHEMBL3785391,CN(C)C(=O)NC1CCc2cc(O)ccc2C1,9.58
CHEMBL3786937,CN(C)C(=O)N[C@H]1CCc2c(O)cccc2C1,9.72
CHEMBL3786448,COc1ccc2c(c1)CC(NS(=O)(=O)N(C)C)CC2,79.49
CHEMBL3787223,COc1ccc2c(c1)CCC(NS(=O)(=O)N(C)C)C2,17.09
CHEMBL3785269,COc1cccc2c1CCC(NS(=O)(=O)N(C)C)C2,114.04
CHEMBL3787502,COc1ccc2c(c1)C[C@@H](NC(=O)N(C)C)CC2,7.65
CHEMBL3786516,COc1ccc2c(c1)CCC(NC(=O)N(C)C)C2,8.24
CHEMBL3786651,COc1cccc2c1CC[C@H](NC(=O)N(C)C)C2,8.21
CHEMBL3965161,COc1cc(F)ccc1-c1nc(Nc2cccc(CS(C)(=N)=O)c2)ncc1F,10000.0
CHEMBL3962241,COc1cc(F)ccc1-c1nc(Nc2cc(F)cc(CS(C)(=N)=O)c2)ncc1F,10000.0
CHEMBL4105008,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccccc2Cl)o1,0.77
CHEMBL4064130,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,0.57
CHEMBL4100496,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,0.14
CHEMBL4073678,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1,0.21
CHEMBL4072122,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1,0.56
CHEMBL4082551,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,0.29
CHEMBL4075535,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,4.21
CHEMBL4097972,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2Cl)o1,0.29
CHEMBL4076887,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)c(Cl)c2)o1,0.45
CHEMBL4098116,O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1,0.28
CHEMBL4089189,O=C(CSC(=S)NN1CCCCC1)NCc1ccc2c(c1)OCO2,0.556
CHEMBL4061017,CC1CCN(NC(=S)SCC(=O)NCc2ccc3c(c2)OCO3)CC1,1.69
CHEMBL4081323,O=C(CSC(=S)NN1CCOCC1)NCc1ccc2c(c1)OCO2,0.346
CHEMBL4099344,O=C(CSC(=S)NN1CCSCC1)NCc1ccc2c(c1)OCO2,0.288
