activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
active,8260669,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cn1nc(C(F)(F)F)c(C#N)c1N1CCN(c2ccc(F)cc2)CC1,,,CHEMBL1201862,,,,CHEMBL1421781,,CHEMBL1421781,5.67,0,http://www.openphacts.org/units/Nanomolar,988385,=,7,1,=,,IC50,nM,,2128.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,2.128
inactive,8260670,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,,,CHEMBL1201862,,,,CHEMBL426,,CHEMBL426,,0,http://www.openphacts.org/units/Nanomolar,1388831,>,7,1,>,,IC50,nM,,35888.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,35.888
active,8260671,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C1CCC2S/C(=C/Nc3ccc(C(F)(F)F)cc3)C(=O)N12,,,CHEMBL1201862,,,,CHEMBL1350077,,CHEMBL1350077,5.14,0,http://www.openphacts.org/units/Nanomolar,1121554,=,7,1,=,,IC50,nM,,7249.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,7.249
active,8260672,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccncc1)c1ccccc1[N+](=O)[O-],,,CHEMBL1201862,,,,CHEMBL1595937,,CHEMBL1595937,5.32,0,http://www.openphacts.org/units/Nanomolar,1108069,=,7,1,=,,IC50,nM,,4771.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,4.771
active,8260673,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(CCl)N1N=C(c2ccco2)CC1c1cccs1,,,CHEMBL1201862,,,,CHEMBL1611106,,CHEMBL1611106,6.16,0,http://www.openphacts.org/units/Nanomolar,1045676,=,7,1,=,,IC50,nM,,694.34,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,0.69434
active,8260674,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(/C=C2\SC(N)=NC2=O)cc(OC)c1,,,CHEMBL1201862,,,,CHEMBL1412284,,CHEMBL1412284,5.15,0,http://www.openphacts.org/units/Nanomolar,1208839,=,7,1,=,,IC50,nM,,7136.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,7.136
inactive,8260675,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(NC(=O)CCC(=O)N/N=C/c2ccc(O)cc2O)cc1,,,CHEMBL1201862,,,,CHEMBL1980848,,CHEMBL1980848,4.87,0,http://www.openphacts.org/units/Nanomolar,1214231,=,7,1,=,,IC50,nM,,13537.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,13.537
active,8260676,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1sc2ncnc(N3CCC(C(=O)N(C)CC(=O)Nc4cccc(F)c4)CC3)c2c1C,,,CHEMBL1201862,,,,CHEMBL1997249,,CHEMBL1997249,5.09,0,http://www.openphacts.org/units/Nanomolar,1630583,=,7,1,=,,IC50,nM,,8100.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,8.1
inactive,8260677,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cccn2c(=O)c3cc(C(=O)NCCN4CCOCC4)c(=N)n(Cc4cccnc4)c3nc12,,,CHEMBL1201862,,,,CHEMBL1340423,,CHEMBL1340423,4.90,0,http://www.openphacts.org/units/Nanomolar,1227195,=,7,1,=,,IC50,nM,,12717.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,12.717
inactive,8260678,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nc2c(-c3ccc(F)cc3)cnn2c(N)c1-c1ccccc1,,,CHEMBL1201862,,,,CHEMBL1597726,,CHEMBL1597726,4.94,0,http://www.openphacts.org/units/Nanomolar,1212855,=,7,1,=,,IC50,nM,,11371.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,11.371
active,8260679,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1cccc(Cl)c1)Nc1nnc(-c2ccncc2)s1,,,CHEMBL1201862,,,,CHEMBL1387923,,CHEMBL1387923,5.44,0,http://www.openphacts.org/units/Nanomolar,1033929,=,7,1,=,,IC50,nM,,3623.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,3.623
active,8260680,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1sc2cnccc2c1N,,,CHEMBL1201862,,,,CHEMBL1494764,,CHEMBL1494764,5.08,0,http://www.openphacts.org/units/Nanomolar,1180688,=,7,1,=,,IC50,nM,,8339.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,8.339
inactive,8260681,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(C(O)(C(C)C)C(CN2CCOCC2)c2ccc(Cl)cc2)cc1.Cl,,,CHEMBL1201862,,,,CHEMBL1453780,,CHEMBL1620884,4.87,0,http://www.openphacts.org/units/Nanomolar,1215496,=,7,1,=,,IC50,nM,,13408.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,13.408
active,8260682,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CCC(=O)Oc1c(C(=O)CC)cc2c(C)cc(=O)oc2c1C,,,CHEMBL1201862,,,,CHEMBL1508246,,CHEMBL1508246,,0,http://www.openphacts.org/units/Nanomolar,1051296,>,7,1,>,,IC50,nM,,3983.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,3.983
active,8260683,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1nc2sc(C(N)=O)c(N)c2c(C)c1CC(=O)c1ccccc1,,,CHEMBL1201862,,,,CHEMBL1535999,,CHEMBL1535999,5.58,0,http://www.openphacts.org/units/Nanomolar,1089591,=,7,1,=,,IC50,nM,,2634.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,2.634
active,8260684,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(/C=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,,,CHEMBL1201862,,,,CHEMBL1302818,,CHEMBL1302818,5.97,0,http://www.openphacts.org/units/Nanomolar,1012118,=,7,1,=,,IC50,nM,,1072.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,1.072
active,8260685,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N/N=C(\c1ccccc1)c1ccccn1)c1ccccc1Cl,,,CHEMBL1201862,,,,CHEMBL1972216,,CHEMBL1972216,5.34,0,http://www.openphacts.org/units/Nanomolar,1248799,=,7,1,=,,IC50,nM,,4571.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,4.571
active,8260686,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,c1cnc2ccc(-n3ccnc3)cc2c1,,,CHEMBL1201862,,,,CHEMBL1888871,,CHEMBL1888871,5.11,0,http://www.openphacts.org/units/Nanomolar,1488725,=,7,1,=,,IC50,nM,,7685.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,7.685
active,8260687,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,COC(=O)c1cccc2c1-c1ccccc1/C2=N/O,,,CHEMBL1201862,,,,CHEMBL2005690,,CHEMBL2005690,5.59,0,http://www.openphacts.org/units/Nanomolar,1287828,=,7,1,=,,IC50,nM,,2568.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,2.568
active,8260688,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(=O)N1CCN(c2ccc(Oc3ncnc4sccc34)cc2)CC1,,,CHEMBL1201862,,,,CHEMBL1409060,,CHEMBL1409060,5.32,0,http://www.openphacts.org/units/Nanomolar,1170178,=,7,1,=,,IC50,nM,,4790.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,4.79
inactive,8260689,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)Cn1c(N)c(C(=O)COC(=O)c2cc3ccccc3cc2O)c(=O)n(C)c1=O,,,CHEMBL1201862,,,,CHEMBL1706512,,CHEMBL1706512,,0,http://www.openphacts.org/units/Nanomolar,1380691,>,7,1,>,,IC50,nM,,11957.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,11.957
active,8260690,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(N/N=C/c1ccccc1O)/C(=C/c1ccccc1)CCO,,,CHEMBL1201862,,,,CHEMBL2004809,,CHEMBL2004809,5.26,0,http://www.openphacts.org/units/Nanomolar,1038180,=,7,1,=,,IC50,nM,,5522.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,5.522
active,8260691,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccccc1/C(O)=C(\C#N)N=Nc1c(C)n(C)n(-c2ccccc2)c1=O,,,CHEMBL1201862,,,,CHEMBL1585209,,CHEMBL1585209,5.45,0,http://www.openphacts.org/units/Nanomolar,1029903,=,7,1,=,,IC50,nM,,3533.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,3.533
active,8260692,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,O=C(NC1CCCCC1)C(c1cccnc1)N(C(=O)CCl)c1cccc(Cl)c1,,,CHEMBL1201862,,,,CHEMBL1373969,,CHEMBL1373969,6.30,0,http://www.openphacts.org/units/Nanomolar,1030913,=,7,1,=,,IC50,nM,,503.09,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,0.50309
active,8260693,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CCOC(=O)c1c(NC(=O)C(C)N2CCN(C(=O)c3ccco3)CC2)sc2c1CCCC2,,,CHEMBL1201862,,,,CHEMBL1300713,,CHEMBL1300713,5.00,0,http://www.openphacts.org/units/Nanomolar,1007175,=,7,1,=,,IC50,nM,,9886.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,9.886
active,8260694,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc2nc(C(F)(F)F)c(C#N)c(N)c2c1,,,CHEMBL1201862,,,,CHEMBL1412573,,CHEMBL1412573,5.29,0,http://www.openphacts.org/units/Nanomolar,1301823,=,7,1,=,,IC50,nM,,5127.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,5.127
inactive,8260695,[],CHEMBL1963969,PUBCHEM_BIOASSAY: Counterscreen for inhibitors of the Steroid Receptor Coactivator 1 (SRC1; NCOA1): Luminescence-based cell-based high throughput dose response assay to identify inhibitors of the Steroid Receptor Coactivator 3 (SRC3; NCOA3). (Class of assay: confirmatory) ,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(C(=O)c1cccc(S(=O)(=O)N(C)C)c1)C12CC3CC(CC(C3)C1)C2,,,CHEMBL1201862,,,,CHEMBL1511754,,CHEMBL1511754,4.86,0,http://www.openphacts.org/units/Nanomolar,1219709,=,7,1,=,,IC50,nM,,13799.0,CHEMBL1615382,Homo sapiens,Nuclear receptor coactivator 3,9606,,,IC50,uM,UO_0000065,,13.799
